Job Title,Company,Location,Salary,Skills
Data Scientist,Wipro,Gurugram,1150000,"Power BI,SQL,Excel"
AI Engineer,HCL,Gurugram,1600000,"Python,Machine Learning,NumPy"
Software Engineer,Accenture,Pune,1250000,"Java,Python,Git"
Data Scientist,Accenture,Delhi,1100000,"Power BI,SQL,Excel"
Machine Learning Engineer,Cognizant,Noida,950000,"Python,TensorFlow,SQL"
Machine Learning Engineer,Wipro,Delhi,950000,"Python,TensorFlow,SQL"
Machine Learning Engineer,Capgemini,Bangalore,1450000,"Python,TensorFlow,SQL"
Software Engineer,TCS,Hyderabad,500000,"Java,Python,Git"
Data Analyst,HCL,Pune,800000,"Python,Excel,SQL"
AI Engineer,Wipro,Noida,1300000,"Python,Machine Learning,NumPy"
AI Engineer,Oracle,Mumbai,1750000,"Python,Machine Learning,NumPy"
Backend Developer,Wipro,Mumbai,1150000,"Django,Python,Git"
Machine Learning Engineer,Cognizant,Noida,650000,"Python,TensorFlow,SQL"
Software Engineer,Infosys,Chennai,1500000,"Java,Python,Git"
Data Scientist,Infosys,Noida,1650000,"Power BI,SQL,Excel"
Data Scientist,IBM,Bangalore,1000000,"Power BI,SQL,Excel"
Full Stack Developer,Oracle,Hyderabad,1150000,"Python,Flask,MongoDB"
Backend Developer,Wipro,Delhi,950000,"Django,Python,Git"
Full Stack Developer,Tech Mahindra,Delhi,1000000,"Python,Flask,MongoDB"
Machine Learning Engineer,Infosys,Pune,550000,"Python,TensorFlow,SQL"
Data Analyst,Wipro,Pune,1750000,"Python,Excel,SQL"
Data Scientist,Cognizant,Noida,1750000,"Power BI,SQL,Excel"
Software Engineer,Infosys,Mumbai,1500000,"Java,Python,Git"
Full Stack Developer,Tech Mahindra,Pune,400000,"Python,Flask,MongoDB"
Full Stack Developer,Wipro,Mumbai,500000,"Python,Flask,MongoDB"
Backend Developer,Capgemini,Mumbai,1050000,"Django,Python,Git"
Machine Learning Engineer,Cognizant,Mumbai,1750000,"Python,TensorFlow,SQL"
AI Engineer,Infosys,Delhi,1150000,"Python,Machine Learning,NumPy"
Full Stack Developer,Wipro,Bangalore,1500000,"Python,Flask,MongoDB"
Machine Learning Engineer,Capgemini,Pune,1400000,"Python,TensorFlow,SQL"
Data Analyst,Oracle,Noida,1100000,"Python,Excel,SQL"
AI Engineer,HCL,Gurugram,1700000,"Python,Machine Learning,NumPy"
Machine Learning Engineer,Tech Mahindra,Pune,500000,"Python,TensorFlow,SQL"
AI Engineer,Cognizant,Noida,1200000,"Python,Machine Learning,NumPy"
Data Scientist,Tech Mahindra,Delhi,1000000,"Power BI,SQL,Excel"
Data Analyst,Infosys,Hyderabad,700000,"Python,Excel,SQL"
Software Engineer,IBM,Pune,1400000,"Java,Python,Git"
Software Engineer,IBM,Hyderabad,650000,"Java,Python,Git"
Python Developer,Wipro,Bangalore,500000,"Python,SQL,Pandas"
Data Analyst,Tech Mahindra,Hyderabad,400000,"Python,Excel,SQL"
Machine Learning Engineer,TCS,Noida,450000,"Python,TensorFlow,SQL"
Software Engineer,Infosys,Hyderabad,450000,"Java,Python,Git"
Software Engineer,TCS,Gurugram,400000,"Java,Python,Git"
Machine Learning Engineer,Infosys,Mumbai,900000,"Python,TensorFlow,SQL"
Software Engineer,Cognizant,Noida,750000,"Java,Python,Git"
Full Stack Developer,TCS,Chennai,900000,"Python,Flask,MongoDB"
Machine Learning Engineer,Cognizant,Pune,1750000,"Python,TensorFlow,SQL"
Backend Developer,Tech Mahindra,Bangalore,1650000,"Django,Python,Git"
AI Engineer,Capgemini,Delhi,1450000,"Python,Machine Learning,NumPy"
Full Stack Developer,Oracle,Gurugram,1300000,"Python,Flask,MongoDB"
Data Analyst,Capgemini,Noida,600000,"Python,Excel,SQL"
Data Scientist,HCL,Mumbai,700000,"Power BI,SQL,Excel"
Full Stack Developer,TCS,Hyderabad,1300000,"Python,Flask,MongoDB"
Data Analyst,Capgemini,Mumbai,1050000,"Python,Excel,SQL"
Python Developer,Infosys,Hyderabad,1650000,"Python,SQL,Pandas"
Python Developer,Accenture,Delhi,1500000,"Python,SQL,Pandas"
Data Scientist,Oracle,Pune,750000,"Power BI,SQL,Excel"
AI Engineer,Cognizant,Chennai,800000,"Python,Machine Learning,NumPy"
Backend Developer,Infosys,Delhi,950000,"Django,Python,Git"
Backend Developer,Tech Mahindra,Gurugram,500000,"Django,Python,Git"
Python Developer,Wipro,Mumbai,800000,"Python,SQL,Pandas"
AI Engineer,IBM,Pune,1550000,"Python,Machine Learning,NumPy"
